case,ok,problems
0001,1,
0003,1,
0004,1,
0005,1,
0007,1,
0008,1,
0010,1,
0012,1,
0014,1,
0016,1,
0017,1,
0018,1,
0019,1,
0020,1,
0021,1,
0023,1,
0024,1,
0025,1,
0027,1,
0029,1,
0031,1,
0033,1,
0034,1,
0036,1,
0038,1,
0039,1,
0041,1,
0043,1,
0044,1,
0045,1,
0047,1,
0049,1,
0050,1,
0051,1,
0053,1,
0055,1,
0056,1,
0058,1,
0059,1,
0060,1,
0061,1,
0062,1,
0064,1,
0065,1,
0067,1,
0068,1,
0069,1,
0070,1,
0072,1,
0073,1,
0074,1,
0075,1,
0076,1,
0077,1,
0079,1,
0081,1,
0083,1,
0085,1,
0086,1,
0088,1,
0090,1,
0091,1,
0093,1,
0094,1,
0095,1,
0096,1,
0097,1,
0099,1,
0100,1,
0101,1,
0102,1,
0104,1,
0105,1,
0107,1,
0109,1,
0110,1,
0111,1,
0112,1,
0114,1,
0115,1,
0117,1,
0119,1,
0120,1,
0123,1,
0124,1,
0126,1,
0128,1,
0130,1,
0131,1,
0133,1,
0134,1,
0135,1,
0137,1,
0138,1,
0140,1,
0142,1,
0143,1,
0145,1,
0146,1,
0148,1,
0150,1,
0151,1,
0153,1,
0154,1,
0156,1,
0157,1,
0158,1,
0160,1,
0161,1,
0162,1,
0163,1,
0165,1,
0166,1,
0167,1,
0168,1,
0169,1,
0170,1,
0172,1,
0174,1,
0176,1,
0178,1,
0179,1,
0180,1,
0182,1,
0184,1,
0185,1,
0186,1,
0188,1,
0189,1,
0191,1,
0192,1,
0193,1,
0194,1,
0195,1,
0196,1,
0197,1,
0198,1,
0199,1,
0200,1,
0201,1,
0203,1,
0204,1,
0206,1,
0208,1,
0209,1,
0211,1,
0213,1,
0214,1,
0215,1,
0217,1,
0218,1,
0219,1,
0220,1,
0222,1,
0223,1,
0225,1,
0226,1,
0227,1,
0229,1,
0231,1,
0232,1,
0234,1,
0235,1,
0236,1,
0237,1,
0238,1,
0239,1,
0241,1,
0242,1,
0244,1,
0246,1,
0247,1,
0249,1,
0251,1,
0253,1,
0255,1,
0257,1,
0259,1,
0260,1,
0262,1,
0264,1,
0265,1,
0267,1,
0268,1,
0269,1,
0270,1,
0271,1,
0272,1,
0273,1,
0275,1,
0276,1,
0277,1,
0278,1,
0279,1,
0280,1,
0282,1,
0284,1,
0285,1,
0287,1,
0289,1,
0290,1,
0291,1,
0293,1,
0295,1,
0297,1,
0298,1,
0299,1,
0301,1,
0302,1,
0304,1,
0305,1,
0306,1,
0307,1,
0309,1,
0311,1,
0313,1,
0314,1,
0315,1,
0317,1,
0319,1,
0321,1,
0322,1,
0323,1,
0324,1,
0326,1,
0327,1,
0329,1,
0330,1,
0331,1,
0332,1,
0334,1,
0336,1,
0338,1,
0339,1,
0341,1,
0342,1,
0344,1,
0345,1,
0346,1,
0347,1,
0349,1,
0350,1,
0352,1,
0353,1,
0354,1,
0355,1,
0357,1,
0358,1,
0359,1,
0361,1,
0363,1,
0364,1,
0366,1,
0368,1,
0369,1,
0371,1,
0373,1,
0375,1,
0376,1,
0378,1,
0379,1,
0381,1,
0382,1,
0383,1,
0384,1,
0385,1,
0387,1,
0389,1,
0390,1,
0391,1,
0392,1,
0393,1,
0394,1,
0395,1,
0397,1,
0399,1,
0401,1,
0403,1,
0405,1,
0407,1,
0409,1,
0410,1,
0412,1,
0414,1,
0416,1,
0418,1,
0419,1,
0420,1,
0421,1,
0422,1,
0424,1,
0425,1,
0427,1,
0428,1,
0429,1,
0430,1,
0431,1,
0432,1,
0434,1,
0436,1,
0438,1,
0439,1,
0441,1,
0442,1,
0443,1,
0444,1,
0445,1,
0447,1,
0448,1,
0450,1,
0451,1,
0453,1,
0455,1,
0456,1,
0457,1,
0458,1,
0459,1,
0461,1,
0463,1,
0465,1,
0466,1,
0467,1,
0468,1,
0469,1,
0470,1,
0471,1,
0472,1,
0473,1,
0474,1,
0476,1,
0478,1,
0480,1,
0482,1,
0484,1,
0485,1,
0486,1,
0487,1,
0488,1,
0489,1,
0490,1,
0492,1,
0493,1,
0495,1,
0496,1,
0498,1,
0500,1,
0502,1,
0504,1,
0506,1,
0508,1,
0509,1,
0511,1,
0512,1,
0513,1,
0515,1,
0516,1,
0517,1,
0519,1,
0521,1,
0522,1,
0523,1,
0524,1,
0526,1,
0527,1,
0528,1,
0530,1,
0531,1,
0532,1,
0533,1,
0535,1,
0536,1,
0538,1,
0539,1,
0540,1,
0542,1,
0544,1,
0545,1,
0547,1,
0548,1,
0549,1,
0550,1,
0551,1,
0552,1,
0554,1,
0556,1,
0557,1,
0559,1,
0560,1,
0561,1,
0562,1,
0564,1,
0565,1,
0567,1,
0568,1,
0569,1,
0571,1,
0573,1,
0574,1,
0575,1,
0577,1,
0578,1,
0579,1,
0581,1,
0583,1,
0584,1,
0586,1,
0587,1,
0588,1,
0589,1,
0590,1,
0591,1,
0593,1,
0595,1,
0596,1,
0598,1,
0599,1,
0601,1,
0603,1,
0604,1,
0606,1,
0608,1,
0609,1,
0611,1,
0613,1,
0614,1,
0615,1,
0617,1,
0619,1,
0621,1,
0623,1,
0624,1,
0626,1,
0628,1,
0629,1,
0631,1,
0633,1,
0635,1,
0636,1,
0637,1,
0638,1,
0639,1,
0641,1,
0642,1,
0644,1,
0646,1,
0648,1,
0649,1,
0651,1,
0652,1,
0654,1,
0655,1,
0656,1,
0658,1,
0660,1,
0661,1,
0663,1,
0664,1,
0665,1,
0666,1,
0667,1,
0668,1,
0669,1,
0671,1,
0672,1,
0674,1,
0676,1,
0677,1,
0678,1,
0679,1,
0680,1,
0681,1,
0683,1,
0685,1,
0687,1,
0689,1,
0690,1,
0692,1,
0694,1,
0696,1,
0697,1,
0698,1,
0699,1,
0700,1,
0701,1,
0703,1,
0704,1,
0706,1,
0707,1,
0708,1,
0709,1,
0710,1,
0712,1,
0713,1,
0714,1,
0715,1,
0716,1,
0718,1,
0719,1,
0720,1,
0721,1,
0723,1,
0724,1,
0726,1,
0728,1,
0730,1,
0731,1,
0732,1,
0733,1,
0735,1,
0737,1,
0738,1,
0740,1,
0741,1,
0742,1,
0744,1,
0746,1,
0748,1,
0750,1,
0752,1,
0754,1,
0755,1,
0756,1,
0758,1,
0760,1,
0762,1,
0763,1,
0765,1,
0766,1,
0767,1,
0768,1,
0770,1,
0772,1,
0774,1,
0776,1,
0778,1,
0780,1,
0781,1,
0782,1,
0783,1,
0785,1,
0787,1,
0789,1,
0790,1,
0792,1,
0793,1,
0794,1,
0795,1,
0797,1,
0799,1,
0801,1,
0802,1,
0804,1,
0805,1,
0807,1,
0808,1,
0809,1,
0811,1,
0812,1,
0814,1,
0816,1,
0818,1,
0819,1,
0820,1,
0821,1,
0822,1,
0823,1,
0824,1,
0825,1,
0827,1,
0828,1,
0829,1,
0830,1,
0831,1,
0833,1,
0835,1,
0837,1,
0839,1,
0840,1,
0842,1,
0843,1,
0844,1,
0845,1,
0847,1,
0849,1,
0851,1,
0853,1,
0854,1,
0855,1,
0857,1,
0859,1,
0861,1,
0863,1,
0865,1,
0867,1,
0868,1,
0869,1,
0870,1,
0871,1,
0873,1,
0874,1,
0875,1,
0876,1,
0877,1,
0878,1,
0880,1,
0882,1,
0883,1,
0884,1,
0885,1,
0887,1,
0889,1,
0890,1,
0892,1,
0894,1,
0895,1,
0896,1,
0898,1,
0899,1,
0901,1,
0902,1,
0904,1,
0905,1,
0907,1,
0909,1,
0910,1,
0911,1,
0913,1,
0914,1,
0915,1,
0917,1,
0919,1,
0921,1,
0923,1,
0925,1,
0927,1,
0928,1,
0929,1,
0931,1,
0932,1,
0933,1,
0935,1,
0937,1,
0938,1,
0940,1,
0941,1,
0943,1,
0945,1,
0946,1,
0947,1,
0948,1,
0950,1,
0952,1,
0954,1,
0956,1,
0957,1,
0959,1,
0960,1,
0962,1,
0964,1,
0965,1,
0967,1,
0969,1,
0971,1,
0972,1,
0973,1,
0974,1,
0975,1,
0976,1,
0978,1,
0980,1,
0981,1,
0982,1,
0984,1,
0986,1,
0987,1,
0989,1,
0991,1,
0993,1,
0994,1,
0995,1,
0997,1,
0998,1,
0999,1,
1000,1,
1001,1,
1003,1,
1004,1,
1005,1,
1007,1,
1008,1,
1009,1,
1010,1,
1012,1,
1014,1,
1016,1,
1018,1,
1020,1,
1022,1,
1023,1,
1024,1,
1026,1,
1027,1,
1029,1,
1031,1,
1033,1,
1035,1,
1036,1,
1037,1,
1038,1,
1039,1,
1040,1,
1042,1,
1043,1,
1044,1,
1045,1,
1046,1,
1048,1,
1050,1,
1052,1,
1053,1,
1054,1,
1055,1,
1056,1,
1057,1,
1058,1,
1059,1,
1061,1,
1062,1,
1064,1,
1065,1,
1066,1,
1068,1,
1069,1,
1070,1,
1072,1,
1073,1,
1075,1,
1077,1,
1078,1,
1079,1,
1080,1,
1082,1,
1084,1,
1085,1,
1087,1,
1088,1,
1089,1,
1090,1,
1092,1,
1093,1,
1094,1,
1096,1,
1098,1,
1100,1,
1101,1,
1103,1,
1104,1,
1106,1,
1107,1,
1108,1,
1110,1,
1111,1,
1113,1,
1114,1,
1116,1,
1118,1,
1119,1,
1120,1,
1121,1,
1122,1,
1123,1,
1124,1,
1125,1,
1126,1,
1127,1,
1128,1,
1129,1,
1130,1,
1131,1,
1132,1,
1133,1,
1134,1,
1135,1,
1136,1,
1137,1,
1138,1,
1139,1,
1140,1,
1141,1,
1142,1,
1143,1,
1144,1,
1145,1,
1146,1,
1147,1,
1148,1,
1149,1,
1150,1,
1151,1,
1152,1,
1153,1,
1154,1,
